Student_idTest0Test1Test2Test3Test4Test5Test6Test7Test8Test9Test10Test11Test12Test13Test14
839177	29	23	56	22	13	41	30	53	27	94	59	3	11	77	4
852491	55	92	65	34	79	2	54	78	83	52	72	8	58	54	60
80781	66	65	63	48	4	98	0	72	4	4	18	11	68	54	19
800611	59	74	36	70	46	21	46	37	11	24	23	42	79	49	27
83149	91	28	1	14	89	67	74	64	100	64	89	33	5	75	44
805268	79	26	44	96	100	64	96	20	92	44	97	80	31	75	49
851948	34	21	37	81	39	2	26	47	7	88	63	58	35	90	29
839823	4	55	38	53	30	87	3	37	96	46	35	55	41	40	20
809218	27	70	80	77	21	31	67	8	11	33	28	59	27	58	58
891949	88	14	71	73	88	2	3	73	68	8	5	98	78	67	32
835282	63	42	43	93	13	56	29	31	37	34	38	59	96	27	43
851567	89	93	61	0	83	27	95	77	69	65	53	13	88	85	24
868332	68	44	30	29	73	2	56	26	34	69	39	84	8	23	54
816155	70	71	11	72	55	97	59	17	81	25	13	48	88	75	11
800488	63	60	48	87	65	19	1	29	40	41	76	89	92	30	32
82964	48	5	62	18	43	30	7	0	99	7	31	98	80	7	25
861679	61	47	77	93	91	67	69	83	67	83	75	7	20	84	40
884999	72	81	51	5	75	85	8	67	86	50	16	72	33	52	41
889294	87	32	8	45	49	84	13	59	70	19	47	15	51	79	3
874226	61	90	35	16	74	39	68	74	8	34	30	44	98	3	60
836885	84	15	35	5	3	35	24	48	78	79	82	44	33	17	37
816638	6	81	58	68	1	82	87	85	90	78	64	36	10	99	18
893011	84	1	39	89	2	98	25	53	77	1	92	52	97	61	55
800541	96	77	28	90	55	37	42	98	76	74	77	68	92	52	19
861654	18	44	75	3	85	44	87	46	2	21	53	25	66	10	11
829286	53	71	77	100	38	18	86	76	51	74	93	42	6	27	22
834114	89	56	55	65	58	38	44	75	38	37	31	89	23	73	14
884282	1	4	19	4	43	26	58	23	65	92	62	56	34	88	2
84971	25	41	78	47	45	48	24	31	96	14	85	51	8	60	4
897638	36	73	91	16	94	21	72	100	72	94	76	68	18	20	8
889064	40	98	60	30	100	44	31	51	62	31	50	65	22	57	31
862584	88	51	18	50	98	37	4	24	54	21	37	91	93	66	48
828471	97	58	97	17	76	55	30	16	42	45	26	26	15	17	8
861777	12	49	95	41	81	68	47	95	54	48	21	43	59	43	0
864655	35	77	69	44	100	19	14	23	63	46	58	84	55	9	10
843171	39	34	41	5	40	41	69	93	77	55	41	13	88	79	23
814522	46	87	100	79	72	87	74	32	4	85	57	43	29	100	13
837092	80	42	21	89	85	10	18	79	34	86	5	72	25	89	37
85890	41	76	63	34	71	33	66	84	10	4	19	26	92	2	29
830691	40	19	96	64	65	10	22	41	14	9	94	61	89	57	60
885443	96	39	92	70	65	31	51	87	42	97	3	73	13	80	16
832427	30	14	49	35	68	75	69	34	0	44	82	9	89	40	8
847150	50	77	75	13	93	62	23	20	43	11	23	59	88	91	11
833752	0	2	18	78	12	87	62	4	9	30	78	24	54	76	50
898425	52	90	80	57	84	33	40	46	20	39	33	77	87	89	25
804791	36	57	49	82	6	4	50	20	88	17	34	10	22	91	53
846147	97	73	15	100	13	13	96	5	15	24	82	59	56	1	14
857796	44	12	98	55	60	62	55	24	12	69	20	50	18	91	14
856898	50	7	61	31	15	28	78	76	67	89	0	73	95	2	47
818564	65	51	59	30	25	13	71	74	3	31	57	51	6	6	31
897618	54	26	16	33	2	51	53	1	86	98	16	25	44	76	46
822626	53	51	73	54	64	65	91	40	79	5	54	61	79	100	6
810659	16	5	65	89	65	46	100	63	15	15	78	1	42	6	33
8263100	6	64	55	7	51	43	82	87	13	32	26	73	1	74	14
827613	96	56	37	47	51	71	5	64	14	56	72	84	96	15	35
825519	70	58	51	35	19	36	83	45	92	44	78	96	100	43	10
891089	7	39	73	64	1	7	27	41	39	6	16	91	81	36	38
830339	39	65	41	22	96	20	72	97	100	17	12	69	85	93	50
843840	81	14	17	85	82	85	85	98	46	100	48	84	14	19	33
891859	76	78	14	1	78	45	48	81	78	28	41	56	57	36	59
862436	95	14	37	71	67	40	44	98	44	78	77	44	27	38	34
886279	50	58	95	38	26	6	76	3	32	23	99	35	92	92	26
869540	32	55	63	7	57	5	63	38	98	24	69	34	1	87	12
831759	6	26	80	60	91	38	33	32	15	1	45	78	34	8	8
883446	58	52	72	35	0	5	61	43	81	75	28	30	84	49	1
823587	62	10	50	17	84	31	12	53	19	86	87	33	72	44	24
869689	69	38	69	77	18	38	78	47	71	95	58	97	77	100	15
896473	1	63	33	64	17	82	0	50	55	51	64	26	62	24	20
818844	97	4	39	34	59	97	78	52	77	97	84	51	56	89	1
89856	22	75	39	88	39	74	21	50	41	74	60	23	41	76	4
898451	34	39	72	33	59	18	44	16	64	55	1	14	3	64	5
897280	71	96	87	89	41	71	2	26	0	95	100	34	59	2	28
844239	55	66	62	28	16	85	51	36	25	19	91	71	77	9	5
8159100	66	16	76	58	28	79	47	61	12	61	41	8	48	24	41
829916	1	18	23	36	60	93	84	78	92	96	35	96	75	8	48
871781	88	51	45	77	96	75	46	89	64	69	10	20	46	8	57
86146	67	21	96	91	94	40	63	48	60	15	48	77	6	27	32
892070	24	33	26	17	37	7	2	21	57	64	99	59	23	78	27
854718	67	98	95	97	3	84	35	66	72	54	72	5	9	92	53
